,old_tweet,new_tweet
0,- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',di saatsemuacowokberusahamelacakperhatianguekamulantasremehkanperhatianyangguekasihkhususkekamubasickamucowokbego
1,RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',siapayangtelatmemberitaukamuedansarapguebergauldengancigaxjiflacalissamasiapaitulicewjuga
2,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",41kadangakuberpikirkenapaakutetappercayapadatuhanpadahalakuselalujatuhberkalikalikadangakumerasatuhanitumeninggalkanakusendirianketikaorang tuakuberencanaberpisahketikakakakkulebihmemilihjadikristenketikaakuanakter
3,USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',akuituakudankutaumatamusipittapidilihatdarimanaituaku
4,USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',kaumcebongkafirsudahkelihatandongoknyadariawaltambahdungulagihaha
5,USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',yabanitaplakdan kawan kawanxf0x9fx98x84xf0x9fx98x84xf0x9fx98x84
6,deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasipilihan kepala daerah2018amandanantihoakswargadukuhsarijabon
7,Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,guebarusajaselesairewatchaldnoahzeropalingkampretmemangakhirnya2karakterutamacowoknyakenafriendzonebroxduniform resource locator
8,"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",nahadminbelanjasatulagipoterbaiknakmakanaiskepalmiloaiskepalhorlicksataucendoltopingkaukaudoketmanaitugerairozakmeuakutaipan2depankembarbabyampromantikabankislamsenawang
9,USER Enak lg klo smbil ngewe',enaklagikalausambilngewe
10,"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",setidaknyaguepunyajaritengahbuatkamusebelumgueukurnyalisamabacotkamuxf0x9fx98x8f
